Model,Prompt,Scenario,Dimension,Criterion,Satisfied
GPT-5.1,CoT + Verifier,01,Completeness,Have all domain entities been identified?,1
GPT-5.1,CoT + Verifier,01,Completeness,Are all required relationships represented in the diagram?,0
GPT-5.1,CoT + Verifier,01,Completeness,Are there sufficient attributes to characterize each entity?,1
GPT-5.1,CoT + Verifier,01,Completeness,Do the cardinalities correctly represent the business rules?,0
GPT-5.1,CoT + Verifier,01,Completeness,Does the model cover all requirements identified in the scope?,0
GPT-5.1,CoT + Verifier,01,Correctness,Attributes are associated with the correct entities.,0
GPT-5.1,CoT + Verifier,01,Correctness,"Relationship types (1:1, 1:N, N:N) are correct.",0
GPT-5.1,CoT + Verifier,01,Correctness,There are no relationships not required by the domain (“spurious relationships”).,0
GPT-5.1,CoT + Verifier,01,Correctness,There are no duplicated or inconsistent attributes.,0
GPT-5.1,CoT + Verifier,01,Correctness,There are no unnecessary entities.,0
GPT-5.1,CoT + Verifier,01,Correctness,"Minimum constraints (UNIQUE, NOT NULL) have been correctly mapped.",0
GPT-5.1,CoT + Verifier,01,Clarity,"Entity names are clear, descriptive, and unambiguous.",1
GPT-5.1,CoT + Verifier,01,Clarity,Attribute names accurately reflect their content.,1
GPT-5.1,CoT + Verifier,01,Clarity,The layout supports readability (subareas separated by context).,1
GPT-5.1,CoT + Verifier,01,Clarity,Primary and foreign keys follow a consistent pattern.,1
GPT-5.1,CoT + Verifier,01,Clarity,There are no multiple names for the same concept.,1
GPT-5.1,CoT + Verifier,01,Simplicity,"Absence of entities with too many attributes (e.g., > 12).",1
GPT-5.1,CoT + Verifier,01,Simplicity,Absence of unnecessary complex relationships.,0
GPT-5.1,CoT + Verifier,01,Simplicity,Decomposition of large models into logical submodels.,1
GPT-5.1,CoT + Verifier,01,Simplicity,"Minimization of very deep generalization/specialization hierarchies (e.g., > 3).",1
GPT-5.1,CoT + Verifier,01,Simplicity,Absence of n-ary relationships where two binary ones would suffice.,0
GPT-5.1,CoT + Verifier,01,Flexibility,Anticipated domain changes can be implemented with minimal impact.,1
GPT-5.1,CoT + Verifier,01,Flexibility,Highly specific entities were avoided (preference for general concepts).,1
GPT-5.1,CoT + Verifier,01,Flexibility,Subtypes were used only when necessary.,1
GPT-5.1,CoT + Verifier,01,Implementability,No requirements demand complex triggers or external logic.,0
GPT-5.1,CoT + Verifier,01,Implementability,Attribute types are compatible with the target DBMS.,1
GPT-5.1,CoT,01,Completeness,Have all domain entities been identified?,1
GPT-5.1,CoT,01,Completeness,Are all required relationships represented in the diagram?,0
GPT-5.1,CoT,01,Completeness,Are there sufficient attributes to characterize each entity?,1
GPT-5.1,CoT,01,Completeness,Do the cardinalities correctly represent the business rules?,0
GPT-5.1,CoT,01,Completeness,Does the model cover all requirements identified in the scope?,0
